Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11
1-2-butanediol	-3.901493389624556	7.580224573166958	-1.368717976094839	0.05134665433535628	-0.21105627787988918	-0.19537578344662074	-1.76847171050716	3.2812077515694256	-0.9467495968229916	-4.957342760374437	2.0692556739332315
1-2-Dimethoxyethane	-3.867496686707869	5.207780415949776	-6.315626959320634	-5.446028927754617	-2.828061437593821	-1.8803994951372764	-4.392094736755208	-4.685562619682713	0.7471063354307471	2.2612255831993595	-2.7864557139112422
1-2-ethanediol	-5.795154789568797	2.123142614608796	2.883191417867309	2.4620381705978307	0.09735729908887535	-1.4734664407729066	-1.915471078597814	-3.2559593183566853	-0.34938585680802825	-2.196097833576701	1.0793765342064499
1-2-heptanediol	-1.9716739897350406	14.047527202229924	-10.978782554092213	3.694453856976291	2.881746346890066	1.5939453907241252	-2.3545235810903806	1.1089409491628897	8.194646059719522	-1.3025043280088564	3.0416913487241453
1-2-hexanediol	-3.119972171816578	12.404871465521403	-8.175506321870348	2.7409731180521333	4.039829673081489	1.7954843160419722	-0.3037059457917923	3.7451669025215355	1.636219109157619	-3.751477471281869	5.363692410669623
1-2-octanediol	-0.9049241715958278	14.844675167078181	-11.67370680238514	3.9633134655594136	1.0533285937169357	0.2130625370197234	1.4683116238131986	3.635189697687937	5.206033476114876	3.663427522031097	-1.196302676723886
1-2-pentanediol	-2.3015736580991777	9.160151147695522	-3.5983716370797305	0.6735651904277007	1.1385774435816274	4.3685487825321205	-3.6842067210259573	1.2584273505409709	0.36353674087754756	-6.457281239913436	2.7889930913970984
1-2-propanediol	-4.897668158371693	4.774936698828281	-0.17130897633218914	2.049596794020508	-4.167735069037419	-2.630399219356356	-1.2954336227034386	3.419441744351227	0.22898448031547464	-4.990716316045867	0.12196752891284923
1-3-butanediol	-3.875944092771767	2.9711139945722675	-5.238308154786374	-5.773675583072322	-3.785421069970448	-2.0394520452037437	3.6011806543785254	-1.2502483467002974	-2.939737134310712	-1.6496672638838827	-3.115776914944056
1-4-Benzenediol	0.1259405953629127	-12.51011149698294	-7.020239661259163	6.242590256915102	2.5410099452408255	7.148424714268046	3.4560193055955204	9.601195106190428	-2.794485587052875	0.15281314114649336	-0.8875747279603635
1-4-butanediol	-3.815997787692056	8.403786572421335	0.0742269359308802	3.042402314848995	0.429882933111457	-2.0018326917236786	-3.4913205137237933	2.4957117268341755	-1.3534826436740757	-3.140028222143239	3.710282037069679
1-bromo-1,2,2,2-tetrafluoroethane	-2.4279433332356186	0.1589005166508892	2.6240451123203345	-3.2220981116662	3.1014900269293015	-0.5503855537815	0.9442815140466866	-1.4963598602728694	7.2266327330642435	-6.949914269073051	0.4969060481308367
1-bromo-1-chloro-2,2,2-trifluoroethane	-2.759661639374401	-0.3870804207989299	8.219352126170625	-4.42134875948734	0.9274682321229922	2.8024718473484476	-2.3246179109529117	1.1726159423390095	3.6064166175762136	-2.233763145168615	-5.270695140679301
1-bromo-2-chloroethane	-3.9722818434731146	0.5918279703086786	7.870240214552559	-2.263085124821988	-0.8702497177784119	1.3194921276516824	-2.0899034738127096	-4.190432124764168	-0.5660813825676444	-1.350366071336006	-2.9654729647180584
1-Bromobutane	-4.137943408535362	7.2124214531571695	4.696151978663814	6.599219403572444	3.7495563448145592	1.2992926687967064	-7.830837852555335	-1.9031718794781811	3.897806378000985	6.633005844335229	-0.49659698367845656
1-bromopentane	-3.554709957873269	8.48337340242035	9.183727304454395	5.240880339848701	7.0264556162629574	-0.35066817059915495	-2.0960325337300327	-4.2974037342546225	-7.804851685262506	0.5776273586004074	-0.841951935443132
1-bromopropane	-5.023273485393414	4.446620107696515	4.438779560310927	0.8854756121103752	5.182034117810094	-1.2412267726332662	-5.8097947854757175	-4.000186414276027	1.9733190541517132	3.1716008529102435	5.215364066469387
1-butene	-5.178122184883571	0.3314619738875344	-0.5498480401426615	-0.47099823668425855	-3.0773499090193317	-3.977228995986536	-4.9226233154801555	-2.25108384723735	-2.2092355085525965	-0.7609808162801874	0.45512138661231283
1-chloro-2,2,2-trifluoroethane	-3.8549654154674315	1.9004138465478224	9.894489140235116	2.117210721502491	4.5031678456208635	7.871064405494124	-3.139008583118056	4.50639502366334	-3.467404210515958	2.051535009884495	3.9187271446175718
1-chloro-2,2,2-trifluoroethyl_difluoromethyl_ether	-2.8402095225162753	12.166805459852428	3.5881820717599817	-6.264128673625279	0.8318959310015523	13.731406901336042	7.570967822012744	1.0635482021086615	-1.5074324813339568	3.267466533952467	-1.0439065295259897
1-chloropentane	-2.976449246428382	6.697030191684676	11.943858669374395	-0.64180091260779	-0.3574626295766034	-0.17195284437574854	6.088455072782354	2.503839230452021	1.683746579616504	2.22700717016218	6.788968671501787
1-chloropropane	-4.828737407546631	2.4184964608010415	8.239236064718321	1.2686098612144896	-3.5996662467418954	-2.962822729938764	-0.0023688910664387596	2.1448589219254792	0.9966007017810258	1.9260315833707442	0.47076821469431646
1-hexene	-3.905050502037076	4.045005605494587	-4.442222438682507	2.556532867475084	-0.6032464752676816	-7.780351663385584	-1.5291634307821547	1.772391355002205	-2.4044393923690266	2.2402210222562866	0.022228097093280667
1-hexyne	-3.244051644952601	5.818097215127821	2.7681504754331967	0.20200264590140743	-2.0711538058087133	-3.4748136845479816	-7.0030667181849795	3.982075617739348	0.3188362622610222	5.655806060380139	0.7959204722517401
1-methylthymine	-0.2675037953245186	1.2501503556635576	-9.724537366876657	-9.258878276121491	-1.3206594984168811	-1.1003228842940582	2.9131884662695415	-0.5104786531975433	-10.055254601292782	6.795283975843259	1.2845351538462584
1-nitrobutane	-2.764814107833075	10.269413204649886	10.12517631113927	2.9007038280737834	-10.060997782107576	0.6528563072462731	5.271811841325335	2.62186379564435	5.330355696995265	1.5563535654922023	-4.468031051325342
1-nitropropane	-2.958192446939284	9.153141354339422	10.573609882637843	-2.455925853690509	-5.455466698918696	4.013163454602211	1.901878163711466	1.2476345899171124	3.6174254562235233	0.6255899267953243	0.5011967828138697
