Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29
1,2-dichloroethene	-4.483622642786627	-3.011119182541081	-1.7801038051385976	-1.9815139078815474	3.269729521449232	-0.0970846002455722	-0.8368286616564058	-7.1700619996866015	-2.6299385573683534	-2.341742873607491	1.1581553835664735	4.5714713267169795	0.37173924221907545	-2.705782118776032	-0.0234143788372225	0.648407515844724	2.692499312308351	-2.9481150362561115	0.16546956778319302	-1.2565801590463255	0.9512443378529795	3.521012062717067	0.6580122565250915	5.7795772434303	3.1331918841636712	-3.485231067285254	1.8724460739612434	-1.8485515864709623	-1.1605310074671005
1,2-ethanediamine	-4.245872025485336	-2.4031377506561378	-7.4560981483025515	-3.0899074610539667	-2.650497953573791	0.36338369718936664	-0.796073288745676	-1.8602094356290273	0.8139016158618088	-2.818487408124411	-0.6098821730929299	-0.8183333825527489	-0.574963729977662	-2.899178254882427	-3.754918552728099	-3.1767016613446177	-1.589105367943696	2.450135967165186	-1.7694018885322131	0.62037830110427	0.5170261716189584	-3.501176941219357	2.1637980789624587	-3.7869105686210127	-1.0829603467696338	-1.308081331385376	4.608805270132947	-2.0609107865795475	4.0128512237894105
1,3-Butadiene	-4.724586565791187	-1.4069693715876068	-4.787572443356187	-2.966855147997851	-3.8724776800364884	1.0603396320385232	-1.9692650378040244	-6.134413929062531	1.0757920706352209	-3.6207395502882123	0.26476753296934197	1.6045138121881648	-0.7109550478342116	-5.778217772519679	-7.623974220982612	-3.6903919269529215	2.000958953178391	4.623357816958592	0.5399659962599146	-3.497790833457875	-1.1310573003134903	0.447957214407159	1.8727292293164546	2.9847730537297883	-0.30559324958616807	-2.864573182056036	-0.3013132961815186	-2.3976416009978454	2.3358387952754307
1,4-dichlorobenzene	-2.6254362486298954	0.7764108780757545	-2.7064322809843264	-3.138526272220232	8.636492661839425	0.5108546296210688	4.917282284588721	5.1444185773805335	-0.7140420473342239	11.84782078111792	1.116269389682743	0.05485176702791609	-2.269280110899772	-1.966353339353772	2.538074796769038	5.741790722708495	3.019440829620894	4.325400186072711	4.6714335858284	-3.0694330104703282	-1.476332916229694	4.448177151163234	5.373988095428293	-3.3559697470178396	4.945266759557225	0.7167294034837839	1.986631728366798	-2.256776780793038	0.17199346818707595
1,4-dioxane	-3.2108421800620945	-2.823150627548467	-6.501267583739978	-0.6020480948956776	5.8532862612210765	-8.441958387570516	-0.8030475540353847	6.1500769372690804	-4.3840932808014355	-0.4553912517270847	1.1881326708208506	0.3752494267173389	1.1808703028602865	-0.21955856623707118	1.5617444219811316	2.4911974596754733	0.19758718186955365	-0.7324241573037377	-1.3254542606664481	-8.107505101932006	2.160180492530787	1.8780511676269669	1.5245149351682274	-0.8999542407384792	1.1833204603505598	1.9855467564972031	2.217041570955557	-4.197119887741767	-1.3275875968499964
1-2-3-hexanetriol	0.03795985694209915	1.092345933336223	9.40324085134574	-1.2115470550230523	4.180203360912851	3.5842245940407826	-2.3828723510401355	1.902972762341568	-2.769140872437023	1.1729190537042355	2.3272784293965088	4.256014309792198	1.386367310329605	1.197651562871748	7.423597651497248	-3.3523660786580316	4.4540958721427835	1.3967758659633593	-3.2196640472332168	-3.8255985663598064	0.44346597242247415	-1.9575940751378227	1.5507155903631533	4.049638063066703	0.008702856419200392	4.670424505715197	-1.0051326961925084	2.4852966672025842	-0.05969036634643214
1-2-Benzenediol	0.36076005939451233	6.77208577738959	0.987661859315174	4.671401177456628	2.3667971460780564	1.0786388967205194	7.312863522866562	-1.792732617708739	-2.175640779200018	-2.88621454273693	-9.619287731278257	11.567530453487414	3.607227602100545	-0.6636688887059413	-2.8400886610174076	5.193814964690112	2.6698074221829775	1.2441458782911223	-0.023944425344133855	-0.5810260844673378	-2.3803577079173155	-4.2606170399288725	-0.1416143452023449	-4.288794538329784	0.816598447135823	-3.576362869347416	-3.9038983238212404	-2.6983216211242023	3.346893975594652
1-2-Dimethoxyethane	-2.753260452714191	-0.9734886675461326	-0.4107894110332293	-0.7007661500921459	-0.27667029661593373	-3.1335496267031937	4.535043448823725	0.3089081780036289	3.191983412982141	5.448036054073087	-4.70718228249585	6.002271023387113	-3.6653398632178082	3.873067117523438	-4.273783615878648	-3.1688436283803663	-2.242959695611756	-4.069209678251157	-0.4809310022225955	2.8001946209809945	3.3375108141806407	5.156022186060514	-9.932226616111056	-1.8118293831963115	4.059749959371976	-0.11969816132670397	-1.1412759169516573	1.3381461105658325	2.1450014866826654
1-2-ethanediol	-4.950675236154256	-3.9640463470545746	-1.773543017373966	-4.016462342511363	-2.7456649128884827	-3.2344551459807342	-2.2390545230647825	-2.6470261011363334	-0.26915658148893207	2.1279807877121995	2.9150053025548104	5.309655577497481	-3.089380651934088	4.2860069725952945	1.873192544934827	4.675800153669872	0.7996785745655851	1.9472256685690914	2.6622645139654644	-1.5566932719571889	3.6517215253254465	4.641216942948757	-4.148337928711064	-2.3856244003797347	-3.037084108221923	-1.1143942597772665	-1.2324058195610217	-1.3772405122758462	0.87550684906715
1-2-heptanediol	-0.2119230009729909	1.3709982314465163	12.758645062906044	-7.715669226448447	-1.737722767471528	-1.513680116961202	9.308298105119079	5.275083867113138	-4.925339850672946	5.557754542874192	2.1643532907081893	2.8834002658361806	-1.080626485665731	-1.5755350147893412	2.584364212108124	-2.030879177967087	0.8632177134629216	-0.6560100350168431	-0.2301555901670839	-0.3210130151583409	-2.6722156433851407	0.6858237230923911	-5.662054828105309	3.334770183196484	-1.3763579615521992	-4.839109227139255	-1.1324901711175057	-0.6703579116288565	2.6609840693158056
