Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18
2-chloropentane	-2.2578175717955644	-4.032042880084073	1.122024233681109	-0.5732748952152202	-0.9731249663550731	-6.4679484835606225	0.5955189371163194	6.068737479334331	4.444064565476819	-4.213630385355457	-0.1782803450360203	-3.5013375773714293	-1.1685190273890849	2.13616832618438	4.313822892478197	-0.7139315748356084	4.458185951988509	1.2877897133343927
2-chloropropane	-3.822581467377459	-6.729324961952127	-1.3426035167599304	-6.376405990262719	-0.31881050381646864	0.9602208288860578	3.3368798035489657	4.26972444687964	-3.5889601048510342	-1.2835828610284599	1.2980672489730927	0.4967152222421299	1.6138418543267894	-1.9316790045584402	-3.1270263394214615	1.6520253919970291	-1.3336688897916218	0.6653555410473921
2-Chlorotoluene	-2.6309081098548575	0.6745260262116068	-3.1203670047859124	4.289230511969558	3.602584450736477	-0.7838352218947476	-5.234595024422967	-1.8529241786224382	-5.427934443445289	-1.48706573142787	-4.764503880770473	-0.38844374091150996	4.280366614891522	1.0756305212369235	-7.0932460448494306	1.0899934631147183	5.501146118269925	-0.5203448838701457
2-Ethylphenol	-1.3436437386359283	2.555475965257919	-4.094116793945044	12.38471606198533	-0.6529212990463135	-3.341144440911428	2.672462087386088	2.975849983835697	4.135094791939117	3.7389807427351727	3.3200214073551786	0.2942298274122885	-2.6439231015533786	2.6296523192408805	-2.8995566670542616	-1.1881575552272112	-0.17053234319899452	2.152791111467144
2-ethylpyrazine	-0.602110867328917	-2.684737124559977	-4.770443741036268	-0.8451738771668532	-1.7789168795390804	1.6394824439769238	-1.7129609528274192	-4.45009372063594	-4.278615543617937	1.957232067184929	1.867459713723514	1.0018122304598558	-4.806893249058736	-2.3606090228050682	-0.6226070685884056	0.08253005431440179	-0.7836986937514758	3.2271566514134222
2-heptanone	-1.5118666912653054	-2.0176870193002894	-1.4105481582873962	8.40088114062726	3.956524402203367	-5.439210950837989	4.536749861679594	3.795034657318466	5.689208311251903	-4.279594401990437	3.2002162304097403	3.9371899823452083	7.556911235834982	-3.9351977689373556	-3.9917290595667216	0.8809274626643028	-3.7959121216099243	3.6988348028654743
2-hexanone	-1.5318856655879216	-3.347777683604586	-3.0636618094515895	5.307102119686626	-4.4614891367363905	0.9301640637593195	4.368705110470523	0.5449278709003055	-0.6612628718852831	2.3586208155312054	3.556702490311809	0.6320751968352823	4.345824155492204	-1.6953679609901358	-4.568548200581885	-2.0112730096366427	-1.5082613889035432	-0.9623793649811355
2-Hydroxy-1-naphthaldehyde	1.6205542350292579	2.2873582224077813	0.0920331776436068	9.600637137768313	1.5559869380582894	-1.3475805206429934	6.211710850326312	4.032549302790498	1.9717625473391514	-4.648487315658228	-5.193856553722887	5.44890919093138	-0.14229335662881623	4.088816022716039	-0.391915055276214	0.09475357962495795	-1.5237170136678677	6.966237248813616
2-methoxyethanamine	-3.4623041576776172	-3.0306898211189393	-3.9377090112070663	-3.617506138681316	-3.129379495498644	3.342181666760092	4.237697842476227	-3.9769503358029494	1.3941630644486045	7.490187292656287	0.17080864966621717	1.2623751635992242	-1.4471014190787703	0.0953277313278194	2.381610248397223	-2.3874016204748525	3.751426255567666	-3.651741042848206
2-methoxyethanol	-3.7025659313958954	-1.6022806970363404	-3.4746119435857357	-1.3088901932691632	-1.593320145074886	-4.643823279679989	-1.840333230358368	0.5573473180408515	-4.290122480245491	-1.0147967534055256	1.175236647414979	-3.3680296485803796	-2.603880781685334	0.2646458759047504	0.6808250525211346	-0.2082912330688648	5.1281674532735115	-0.34251825364889904
