Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16
1-4-Benzenediol	-2.8127428013320483	13.871142373220561	16.829602694303126	13.593819660644948	0.05002633865306821	-8.196867738785787	-8.672823993928356	-6.966527269699146	-0.5934892918314645	-6.448909979793405	8.722796592847047	5.360210609096691	3.638893150153242	4.738392496315333	3.2222944262507314	2.317251963780356
1-4-butanediol	-1.6766279867838927	-7.955237371653215	0.29624627282776667	3.090467390643972	-0.970532795878635	-4.734968165857731	2.245190484744142	-4.551340977116405	-1.6388542540074145	-0.29833728942973603	2.242942288204339	-5.2178585153168955	-2.1547403362203377	-4.4851870061667025	1.8598623628028434	-0.008608855363532064
1-bromo-1,2,2,2-tetrafluoroethane	-2.6356047519499612	-4.5497154851878445	3.3406940039663002	-4.866907996256952	-3.5964266676352423	5.443491068936748	-5.908313409799332	1.8190912269248822	5.465105184161846	-1.3571078670907843	1.1392077026049703	4.222295863597481	6.964570870340305	5.470459195908064	5.265359244454944	-9.753809127049063
1-bromo-1-chloro-2,2,2-trifluoroethane	-3.3981158842270314	1.4046169371366253	-3.8080393718369607	-4.6072407987560995	3.444685936009557	9.879097928122079	-1.944619295661378	8.934251776066931	2.191411578337541	-7.251078156906967	1.4982016881420102	4.052721637513373	6.155990885806269	10.275360779631212	-1.3730520522364438	-1.474208334232113
1-bromo-2-chloroethane	-1.4817735600966506	-0.12704440775449988	-9.791116166907281	0.2232958429342456	3.4846599976413213	5.697300945796181	-4.287233935364116	-0.887265636802936	0.9820633467574664	-2.33698177354076	1.3062738544557555	-2.0221290778291805	-0.5709637164299363	-0.050969701516648175	6.846119201358573	6.1053994558624645
1-Bromobutane	-2.9695009295046115	-9.103572054196931	1.2190969188951446	-4.6011381090546175	1.8378592168677403	-4.667136096899469	-0.08708918467949114	-0.2245728573832288	-0.22894935556732826	-5.100702864644271	-4.313063350356514	0.9476666781695599	3.9912368493749373	3.548821392234446	-9.063416876998211	2.899435100530522
1-bromopentane	-3.1792792120811546	-8.512585246356679	-0.6015405937748979	3.7264598460438703	10.097113299894627	-4.420568809822776	6.160574886466866	-4.881741653826041	-1.0556420496357433	-8.161285530723328	2.83341572693484	-3.2792658826263437	-2.039770021678443	-9.078359123127624	4.128850577557671	-1.0822125656610901
1-bromopropane	-1.4307636767202814	-7.691498637107957	0.5036473728713778	0.6187512385911713	0.40448379013796437	-3.365624250581118	-2.3574621263610434	-1.6339125297322812	-2.5919334328529136	-0.45046462949055915	-5.376638558525742	-2.543846177055971	-2.7005220366991227	1.1497233960100133	0.2839460121014526	1.6262354212793069
1-butene	-0.4910711549800927	-3.597418872034823	-0.8202129503275192	-2.132328121049252	-2.964417514105944	-0.868213079838797	-9.144458159318997	-0.6249420124233049	-1.7495861137781425	1.1545953157001219	-7.4768370613043835	4.5182371847981875	0.44424259933381427	1.0544159957714292	2.0113841314964453	0.648342295198123
1-chloro-2,2,2-trifluoroethane	-3.4422609989564203	-5.134584343458353	7.258935912042573	-2.0762119295728705	9.263136964327732	1.3845815283715996	11.630039188708539	-0.6516738753410979	5.7697143702153415	-3.4116135308585447	-2.19426095256436	-4.462497140428989	-6.503469793066369	3.0702037193844265	-6.440111094948182	3.3700608693068914
